MEDICINE NAME,DOSAGE,USE
Acetaminophen (Paracetamol),500 mg,Pain reliever and fever reducer.
Acetylcysteine (Fluimucil),200 mg; 600 mg, Cough Suppressant, Mucolytic agent.
Acyclovir,200 mg, Antiviral medication.
Allopurinol,100 mg; 300 mg,Reduces uric acid; Gout.
Amiodarone,150 mg; 200 mg,Antiarrythmic.
Amlodipine,5 mg; 10 mg,Calcium channel blocker.
Amoxicillin 15ml,100 mg,Antibacterial.
Amoxicillin/Clavulanic Acid,All doses,Antibacterial.
Aspirin,81 mg; 100 mg,Anticoagulant/Antiplatelets; NSAID.
Atenolol, 25 mg; 50 mg; 100 mg,Beta Blocker (HTN).
Atorvastatin, 20mg; 40mg; 80mg,Antihyperlipidaemia.
Azithromycin, 250mg; 500mg,Antibacterial.
Betahistine,42mg, Vertigo, Dizziness.
Bisoprolol,2.5 mg; 5.0 mg; 10 mg,Beta Blocker (HTN).
Bisoprolol Hydrochlorothiazine,2.5/6.25 mg; 5.0/6.25 mg,Beta Blocker (HTN).
Budenoside,0.5 mg/2 mL nebule,Anti-Inflammatory/Steroid for inflammation.
Canderstan, 5 mg; 8 mg; 16 mg, Angiotensin Receptor Blocker (HTN).
Captopril, 25 mg, Ace Inhibitor (HTN).
Carbamazepine,200 mg,Anticonvulsant.
Carvedilol, 6.25mg; 10 mg; 12.5 mg; 25 mg, HTN, Beta Blocker, Angina Pectoris.
Cefalexin, 100 mg; 125 mg; 250 mg; 500 mg, Antibacterial.
Cefixime (Antibiotic), 100 mg, Antibiotic.
Cefixime (Antibacterial), 100 mg; 200 mg; 400 mg; 500 mg, Antibacterial.
Ceftriaxone, 1 g, Antibacterial.
Cefuroxime 50mL, 250 mg, Antibiotic.
Cefuroxime (Antibiotic), 500 mg, Antibiotic.
Cefuroxime (Antibacterial), 125 mg; 250 mg; 500 mg, Actibacterial.
Celecoxib, 100 mg; 200 mg; 400 mg, COX-2 Inhibitor, NSAID.
Cilostazol, 50 mg, Antiplatelet
Ciprofloxacin, 500 mg, Antibacterial.
Citocoline,  1 g; 25 mg; 100 mg; 125 mg; 500 mg, Ischemic Stroke.
Clarithromycin, 125 mg; 250 mg, Antibacterial.
Clindamycin, 150 mg; 300 mg; 600 mg, Antibacterial.
Clodipogrel (Clovix), 75 mg; 300 mg, Antithrombotic.
Clonazepam, 500 mcg; 2 mg, Anti-seizure.
Clonidine, 75 mg; 150 mg, Hypertension (HTN).
Clotrimazole Cream, 10 g, Antifungal.
Cloxacillin, 125 mg; 250 mg; 500 mg, Antibacterial.
Colchicine, 500 mg, Gout.
Dexamethasone, 3 mg; 5 mg, Anti-Inflammatory/Steroid.
Diclofenac, 50 mg; 100 mg, Non-Steroidal Antiflammatory Drug (NSAID).
Digoxin, 0.25 mg, Cardiovascular Disease
Diosmin+Hesperidine, ,Blood Vessel Problems
Diphenylhydramine, 25 mg, Allergy.
Domperidone, 10 mg, Anti-Nausea.
Drydogesterone (Duohaston), 10 mg, Prevent Miscarriage.
Eperisone, 50 mg, Muscle Stiffness.
Erythromycin, 200 mg; 250 mg; 500 mg, Antibacterial.
Esomeprazaloe, 20 mg; 40 mg, Acid Reflux/Gerd.
Ethambutol, 400 mg, Tuberculosis.
Etoricoxib, 60 mg; 90 mg; 120 mg, COX-2 Inhibitor, NSAID.
Febuxostat, 20 mg; 40 mg; 80 mg; 120 mg, Gout.
Felodipine, 5 mg; 10 mg, Calcium Channel Blocker (HTN).
Fenofibrate, 160 mg; 200 mg, Hyperlipidaemia.
Fluconazole, 150 mg; 200 mg, Antifungal.
Furosemide, 20 mg; 40 mg, Antidiuretic/Treat fluid retention.
Gabaoentin, 100 mg; 300 mg; 400 mg, Anticonvulsant.
Gliclazide, 30 mg; 60 mg; 80 mg, Antidiabetic.
Glimepiride, 1 mg; 2 mg; 3 mg, Antidiabetic.
Glimepiride+Metformin, 2/500 mg, Antidiabetic.
Glucosamine, 250 mg, Antidiabetic.
Guaifenesin+Salbutamol, 60 ml: 120 ml, Bronchospasm.
Hydrocorisone, 100 mg; 250 mg; 5 g; 10 g; 15 g, Eczema, Dermatitis, Rash.
Hydroxychloroquine, 200 mg, Anti-Malaria, Rheumatoid, Lupus.
Ibuprofen, 500 mg, Non-steroidal Antiflammatory Drug (NSAID).
Imidapril, 5 mg; 10 mg, Ace Inhibitor (HTN).
Ipatropium Bromide + Salbutamol, 500 mcg, Asthma Inhaler.
Irbesartan, 150 mg; 300 mg, Angiotensin II Blocker (HTN).
Irbesartan+Hydrochlorothiazine, 150/12.5 mg; 300/12.5 mg, Ace Inhibitor (HTN) + Diuretic
Isosorbide, 30 mg, Angina.
Isosorbide Dinitrate, 5 mg; 10 mg, Angina.
Isosorbide Mononitrate, 30 mg; 60 mg, Angina.
Lamotrigine, 50 mg; 100 mg, Anti-Epileptic.
Levetiracetam, 250 mg; 500 mg; 750 mg; 1000 mg, Anti-Epileptic.
Levofloxacin, 250 mg; 500 mg, Antibacterial.
Levothyroxine, 50 mcg; 12.5 mcg; 25 mcg; 100 mcg; 150 mcg; Thyroid Hormone.
Losartan, 50 mg; 100 mg, Angiotesin II Blocker (HTN).
Losartan+Amlodipine, 50/5 mg; 100/5 mg, Hypertension (HTN).
Medroxyprogesterone (PROVERA), 10 mg, Irregular Menses.
Mefenemic Acid, 500 mg, Non-Steroidal Anti-Iflammatory Drug (NSAID).
Methimazole, 5 mg; 20 mg, Hyperthyroidism.
Methyldopa, 250 mg, Antihypertensive (HTN).
Methylergometrine, , Post Partum Bleeding.
Methylprednisolone, 4 mg; 6 mg, Anti-Inflammatory/Steroid.
Metrformin, 500 mg, Antidiabetic.
Metronidazole, 500 mg, Antiprotozoal.
Metropolol, 50 mg, Beta 1 Blocker (HTN).
Miconazole, 20 mg; 40 mg, Antifungal.
Montelukast, 4 mg; 5 mg; 10 mg, Anti-Asthma.
Montelukast+Levocitrizine (Zykast), 10/5 mg, Anti-Asthma + Anti-Allergy.
Nifedipine, 20 mg, Calcium Channel Blocker (HTN).
Omeprazole, 20 mg; 40 mg, Antacid, Gerd.
Pantoprazole, 20 mg; 40 mg, Stomach Ulcer, Gerd.
Ploglitazone, 15 mg; 30 mg; 45 mg, Antidiabetic.
Potassium Chloride, ,Increase Potassium.
Potassium Citrate, 1080 mg, Treat Kidney Stones.
Prednisone, 1 mg; 5 mg; 10 mg, Anti-Inflammatory/Steroid.
Prednisone, 20 mg; 50 mg; 75 mg, Anti-Inflammatory/Steroid.
Pregabalin, 75 mg; 100 mg, Anticonvulsant.
Propanolol, 10 mg; 40 mg; 80 mg, Beta 1 Blocker (HTN).
Provera, 10 mg, Treat Heavy Menstrual Bleeding.
Rabies Vaccine, , Vaccine.
Rivaroxaban, 10 mg; 15 mg; 20 mg, Deep Vein Thrombosis.
Rosuvastatin, 5 mg; 10 mg; 20 mg; 40 mg, Hyperlipidaemia.
Salbutamol, 1 mg 2.5 ml; 1 mg 20 ml; 2 mg/5 ml; 2 mg 60 ml; 2 mg 120 ml; 4 mg, Anti-Asthma.
Salmeterol+Fluticasone, 50/250 mcg; 50/250 mcg; 25/125 mcg; 25/250 mcg, Asthma Inhaler.
Sodium Bicarbonate, 650 mg, Heart Burn.
Sodium Valproate, 145 mg; 500 mg, Anti-Epileptic.
Spirinolactone, 25 mg; 50 mg; 100 mg, Hypertension (HTN), Heart Failure
Tamsulosin, 400 mcg; 200 mcg, Benign Prostate Hyperlasia (BPH)
Telmisartan, 40 mg; 80 mg, Hypertension (HTN), Heart Failure
Tetanus Vaccine, , Vaccine.
Tobramycin Dexamethasone Eye Drops, , Anti-bacterial.
Tobramycin Dexamethasone Ointment, , Anti-bacterial.
Tramadol, 50 mg; 100 mg, Moderate to Severe Pain.
Tramadol + Paracetamol, , Analgesic.
Tranexamic Acid, 500 mg, Controls Bleeding.
Trimetazidine, 30 mg; 35 mg, 60 mg, Angina.
Valproic Acid, 200 mg, Anti-Epileptic.
Verapamil, 40 mg; 80 mg; 240 mg, Calcium Channel Blocker (HTN).

